table,migration_columns,model_files,model_fillable_union,model_casts_union,missing_in_model,extra_in_model,notes
transfe\1_\2s,,app\Models\Inventory/TransferOrder.php,approved_at|approved_by|completed_at|completed_by|created_by|destination_location_id|destination_location_type|document_id|document_number|document_type|grand_total_value|in_transit_at|in_transit_by|notes|organization_id|rejected_at|rejected_by|requested_at|requested_by|source_location_id|source_location_type|status|total_quantity|updated_by|voucher_type_id,total_quantity:decimal:6;grand_total_value:decimal:4;requested_at:datetime;approved_at:datetime;in_transit_at:datetime;completed_at:datetime;rejected_at:datetime,,approved_at|approved_by|completed_at|completed_by|created_by|destination_location_id|destination_location_type|document_id|document_number|document_type|grand_total_value|in_transit_at|in_transit_by|notes|organization_id|rejected_at|rejected_by|requested_at|requested_by|source_location_id|source_location_type|status|total_quantity|updated_by|voucher_type_id,NO_MIGRATION_FOUND
transfe\1_\\1_\2tems,,app\Models\Inventory/TransferOrderItem.php,allocated_quantity|created_by|inventory_batch_id|is_allocated|line_total|notes|organization_id|product_variant_id|quantity|transfer_order_id|unit_cost|unit_id|updated_by,quantity:decimal:6;unit_cost:decimal:4;line_total:decimal:4;allocated_quantity:decimal:6;is_allocated:boolean,,allocated_quantity|created_by|inventory_batch_id|is_allocated|line_total|notes|organization_id|product_variant_id|quantity|transfer_order_id|unit_cost|unit_id|updated_by,NO_MIGRATION_FOUND
transfer_order_items,allocated_quantity|created_by|inventory_batch_id|is_allocated|line_total|notes|organization_id|product_variant_id|quantity|transfer_order_id|unit_cost|unit_id|updated_by,,,,allocated_quantity|created_by|inventory_batch_id|is_allocated|line_total|notes|organization_id|product_variant_id|quantity|transfer_order_id|unit_cost|unit_id|updated_by,,NO_MODEL_FOUND
transfer_orders,approved_at|approved_by|completed_at|completed_by|created_by|destination_location|destination_location_id|destination_location_type|document|document_id|document_number|document_type|grand_total_value|in_transit_at|in_transit_by|notes|organization_id|rejected_at|rejected_by|requested_at|requested_by|source_location|source_location_id|source_location_type|status|total_quantity|updated_by|voucher_type_id,,,,approved_at|approved_by|completed_at|completed_by|created_by|destination_location|destination_location_id|destination_location_type|document|document_id|document_number|document_type|grand_total_value|in_transit_at|in_transit_by|notes|organization_id|rejected_at|rejected_by|requested_at|requested_by|source_location|source_location_id|source_location_type|status|total_quantity|updated_by|voucher_type_id,,NO_MODEL_FOUND
units,allow_decimal|name|organization_id|short_name,app\Models\Inventory/Unit.php,allow_decimal|name|organization_id|short_name,allow_decimal:boolean,,,
user_assignments,assignable|assignable_id|assignable_type|assigned_by|ended_at|role_id|started_at|user_id,app\Models\Auth/UserAssignment.php,assignable_id|assignable_type|assigned_by|ended_at|role_id|started_at|user_id,user_id:integer;assignable_id:integer;role_id:integer;assigned_by:integer;started_at:datetime;ended_at:datetime,assignable,,
user_contexts,branch_id|cash_register_id|ended_at|organization_id|outlet_id|started_at|user_id|warehouse_id,app\Models\Auth/UserContext.php,branch_id|cash_register_id|ended_at|organization_id|outlet_id|started_at|user_id|warehouse_id,started_at:datetime;ended_at:datetime;organization_id:integer;branch_id:integer;warehouse_id:integer;outlet_id:integer;cash_register_id:integer,,,
users,email|email_verified_at|is_active|is_admin|name|password|profile_photo_path,app\Models\User.php,email|is_active|is_admin|name|password|profile_photo_path,email_verified_at:datetime;password:hashed;is_active:boolean;is_admin:boolean,email_verified_at,,
variation_values,color_code|value|variation_id,app\Models\Inventory/VariationValue.php,color_code|value|variation_id,color_code:string,,,
variations,has_multiple|is_active|name|organization_id|short_name,app\Models\Inventory/Variation.php,has_multiple|is_active|name|organization_id|short_name,has_multiple:boolean;is_active:boolean,,,
vouche\1_\2s,,app\Models\Voucher/VoucherType.php,module|name|next_number|organization_id|prefix,,,module|name|next_number|organization_id|prefix,NO_MIGRATION_FOUND
voucher_types,module|name|next_number|organization_id|prefix,,,,module|name|next_number|organization_id|prefix,,NO_MODEL_FOUND
warehous\1_\2s,,app\Models\Core/WarehouseSection.php,aisle|bin|code|description|hierarchy_path|is_active|level|name|organization_id|parent_section_id|rack|section_category_id|shelf|warehouse_id|zone,is_active:boolean,,aisle|bin|code|description|hierarchy_path|is_active|level|name|organization_id|parent_section_id|rack|section_category_id|shelf|warehouse_id|zone,NO_MIGRATION_FOUND
warehouse_sections,aisle|bin|code|description|hierarchy_path|is_active|level|name|organization_id|parent_section_id|rack|section_category_id|shelf|warehouse_id|zone,,,,aisle|bin|code|description|hierarchy_path|is_active|level|name|organization_id|parent_section_id|rack|section_category_id|shelf|warehouse_id|zone,,NO_MODEL_FOUND
warehouses,address|branch_id|city|code|contact_no|contact_person|country|email|is_active|latitude|longitude|name|organization_id|state|zip_code,app\Models\Core/Warehouse.php,address|branch_id|city|code|contact_no|contact_person|country|email|is_active|latitude|longitude|name|organization_id|state|zip_code,is_active:boolean;latitude:decimal:8;longitude:decimal:8,,,
